first,second,third,fourth
accipio,accipere,accepi,acceptus
adduco,adducere,adduxi,adductus
amitto,amittere,amisi,amissus
amo,amare,amavi,amatus
appello,appellare,appelavi,appellatus
audio,audire,audivi,auditus
cano,canere,cecini,cantus
capio,capere,cepi,captus
coepio,coepere,coepi,coeptus
cognosco,cognoscere,cognovi,cognitus
commuto,commutare,commutavi,commutatus
comprimo,comprimere,compressi,compressus
concumbo,concumbere,concubui,concubitus
conicio,conjicere,conjeci,conjectus
constituo,constituere,constitui,constitutus
consumo,consumere,consumpsi,consumptus
contendo,contendere,contendi,contentus
converto,convertere,converti,conversus
cresco,crescere,crevi,cretus
dedo,dedere,dedidi,deditus
defero,deferre,detuli,delatus
dico,dicere,dixi,dictus
do,dare,dedi,datus
duco,ducere,duxi,ductus
eo,ire,ii,-
exeo,exire,exivi,exitus
expono,exponere,exposui,expositus
facio,facere,feci,factus
fero,ferre,tuli,latus
fio,fieri,-,factus
habeo,habere,habui,habitus
immolo,immolare,immolavi,immolatus
impono,imponere,imposui,impositus
intereo,interire,iterivi,iteritus
interficio,interficere,interfeci,interfectus
invenio,invenire,inveni,inventus
irascor,irasci,-,iratus
jubeo,jubere,jussi,jussus
jungo,jungere,junxi,junctus
libero,liberare,liberavi,liberatus
libet,libere,libuit,libitus
loco,locare,locavi,locatus
mitto,mittere,misi,missus
moneo,monere,monui,monitus
morior,mori,-,mortuus
nascor,nasci,-,natus
neco,necare,necavi,necatus
nego,negare,negavi,negatus
nitor,niti,-,nisus
nolo,nolle,nolui,-
nomino,nominare,nominavi,nominatus
obicio,obicere,objeci,objectus
occido,occidere,occidi,occisus
ostendo,ostendere,ostendi,ostensus
pareo,parere,parui,paritus
pario,parere,peperi,paritus
percutio,percutere,percussi,percussus
perduco,perducere,perduxi,perductus
pereo,perire,perivi,peritus
persequor,persequi,-,persecutus
pervenio,pervenire,perveni,perventus
peto,petere,petivi,petitus
polliceor,polliceri,-,pollicitus
pono,ponere,posui,positus
possum,posse,potui,-
praecipito,praecipitare,praecipitavi,praecipitatus
procreo,procreare,procreavi,procreatus
proficio,proficere,profeci,profectus
proficiscor, proficisci,-,profectus
profugio,profugere,profugi,-
quaero,quaerere,quaesivi,quaesitus
rapio,rapere,rapui,raptus
recipio,recipere,recepi,receptus
redeo,redire,redivi,reditus
refero,referre,rettuli,relatus
regno,regnare,regnavi,regnatus
respondeo,respondere,respondi,responsus
rogo,rogare,rogavi,rogatus
sacro,sacrare,sacravi,sacratus
sepelio,sepelire,sepelivi,sepultus
servo,servare,servavi,servatus
soleo,solere,solui,solitus
sum,esse,fui,futurus
tollo,tollere,sustuli,sublatus
trado,tradere,tradidi,traditus
venio,venire,veni,ventus
video,videre,vidi,visus
vinco,vincere,vici,victum
vivo,vivere,vixi,victus
voco,vocare,vocavi,vocatus
volo,velle,volui,-
